排名,名称,链接,星级,评分,评价人数,封面图片,导演,年份
1,肖申克的救赎,https://movie.douban.com/subject/1292052/,5,9.7,2809343,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,"
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...","
                            1994 / 美国 / 犯罪 剧情
                        "
2,霸王别姬,https://movie.douban.com/subject/1291546/,5,9.6,2078222,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,"
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...","
                            1993 / 中国大陆 中国香港 / 剧情 爱情 同性
                        "
3,阿甘正传,https://movie.douban.com/subject/1292720/,5,9.5,2103885,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,"
                            导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...","
                            1994 / 美国 / 剧情 爱情
                        "
4,泰坦尼克号,https://movie.douban.com/subject/1292722/,5,9.5,2067387,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...","
                            1997 / 美国 墨西哥 澳大利亚 加拿大 / 剧情 爱情 灾难
                        "
5,这个杀手不太冷,https://movie.douban.com/subject/1295644/,4.5,9.4,2238867,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,"
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...","
                            1994 / 法国 美国 / 剧情 动作 犯罪
                        "
6,美丽人生,https://movie.douban.com/subject/1292063/,5,9.6,1292765,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...","
                            1997 / 意大利 / 剧情 喜剧 爱情 战争
                        "
7,千与千寻,https://movie.douban.com/subject/1291561/,4.5,9.4,2180179,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...","
                            2001 / 日本 / 剧情 动画 奇幻
                        "
8,辛德勒的名单,https://movie.douban.com/subject/1295124/,5,9.6,1077122,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...","
                            1993 / 美国 / 剧情 历史 战争
                        "
9,盗梦空间,https://movie.douban.com/subject/3541415/,4.5,9.4,2010498,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...","
                            2010 / 美国 英国 / 剧情 科幻 悬疑 冒险
                        "
10,星际穿越,https://movie.douban.com/subject/1889243/,4.5,9.4,1771900,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...","
                            2014 / 美国 英国 加拿大 / 剧情 科幻 冒险
                        "
